09/26 12:23:03.972 INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
09/26 12:23:04.170 INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Sat Sep 26 12:23:04 CST 2015]; root of context hierarchy
09/26 12:23:04.272 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-external.xml]
09/26 12:23:04.516 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-beans.xml]
09/26 12:23:04.562 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-spring-mvc.xml]
09/26 12:23:04.997 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-jpa.xml]
09/26 12:23:06.730 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-redis.xml]
09/26 12:23:06.764 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-quartz.xml]
09/26 12:23:06.789 INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/applicationContext-camel.xml]
09/26 12:23:08.690 INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [config/config.properties]
09/26 12:23:08.702 INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config/config.properties]
09/26 12:23:08.714 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
09/26 12:23:08.952 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'dataSource' of type [class org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09/26 12:23:09.010 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'jpa.base'
09/26 12:23:12.443 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'entityManagerFactory' of type [class org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09/26 12:23:12.497 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'jedisPoolConfig' of type [class redis.clients.jedis.JedisPoolConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09/26 12:23:12.526 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'connectionFactory' of type [class org.springframework.data.redis.connection.jedis.JedisConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09/26 12:23:12.588 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09/26 12:23:12.592 INFO  o.s.w.c.s.XmlWebApplicationContext - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
